pair,min_centroid,min_footprint,t_centroid,t_footprint,ttc_accel_poly,ttc_cv_poly,ttc_accel_pt,clearance_overstatement,timing_lead
1061-1122,4.915584877312802,3.7669500911921876,258.54219820901494,258.54219820901494,,,,1.1486347861206143,0.0
58-59,8.028641389090295,5.896946496415637,10.155585572064636,9.805392966131372,,,,2.1316948926746573,0.3501926059332643
1240-1623,2.9958541590313823,2.348777951260721,289.20906498574215,289.20906498574215,,,,0.6470762077706613,0.0
382-473,5.7886416283045685,5.12179948374316,130.12156686177397,129.37115413477412,,,,0.6668421445614081,0.7504127269998548
1114-1942,1.4356326077918744,0.8675880424909028,264.1953074190805,264.14527990394714,1.7000000000000008,2.0500000000000007,,0.5680445653009716,0.05002751513336534
59-65,3.3904278797998795,2.134214423516525,11.106108359597778,11.106108359597778,0.35,0.49999999999999994,,1.2562134562833545,0.0
494-556,5.386771284021518,4.025815738545383,141.1276201911051,140.57731752463854,,,,1.360955545476135,0.550302666466564
1003-1021,5.784931901744243,2.309655290261219,238.88138476161888,238.88138476161888,,,,3.4752766114830242,0.0
691-1473,9.153627077167139,7.528243801131655,164.44044224323378,164.0402221221672,1.7000000000000008,4.199999999999993,,1.6253832760354836,0.40022012106658167
456-1776,4.473218232577056,3.2422884937250984,131.52233728550704,131.4723097703737,1.4500000000000006,,,1.230929738851958,0.05002751513333692
730-1854,2.2964255504635163,1.5355017676104126,173.0451748461654,172.14467957376556,1.6000000000000008,,,0.7609237828531037,0.9004952723998372
865-876,4.279656295242523,0.913159082098403,206.5135824703587,206.5135824703587,0.25,0.25,,3.36649721314412,0.0
1102-1124,5.8749316802858225,3.2905026607641226,261.84401420781427,261.5438491170144,1.5500000000000007,2.3,,2.5844290195217,0.300165090799851
1263-1273,4.248723804326742,1.6245218418199308,298.7142928610736,298.7142928610736,0.49999999999999994,0.8500000000000002,,2.6242019625068114,0.0
566-1798,7.670853736419401,6.5399182477468685,148.23152734003702,147.7812797038371,,,,1.1309354886725327,0.4502476361999186
735-1863,2.665042508377127,1.6234729541744564,172.59492720996548,173.14522987643204,,,,1.0415695542026708,-0.550302666466564
530-540,8.929610239226557,4.56737442714018,136.8752814047726,136.92530891990594,,,,4.362235812086377,-0.05002751513333692
534-551,5.725903951375967,4.621434056706523,146.8807844314373,147.03086697683725,3.049999999999997,4.849999999999991,,1.1044698946694442,-0.15008254539995391
1116-1137,6.537553173014269,5.195379004944401,263.494922207214,263.44489469208065,1.4500000000000006,,,1.3421741680698673,0.05002751513336534
142-149,3.1542316655699296,1.124873222463423,32.1676922307269,32.31777477612687,0.44999999999999996,0.6,,2.0293584431065064,-0.15008254539996813
198-1325,2.3047562006915085,1.630373534373959,42.92360798439142,42.82355295412477,,,,0.6743826663175496,0.10005503026664542
1265-1273,0.4813731063864212,0.0,298.8643754064735,298.6142378308069,0.05,0.05,,0.4813731063864212,0.25013757566659933
494-558,4.971998463005562,3.8760080194843476,141.1276201911051,141.1276201911051,,,,1.0959904435212144,0.0
456-493,2.1762741092767572,0.8043014893597018,133.77357546650657,133.8236029816399,0.7500000000000001,0.9000000000000002,,1.3719726199170554,-0.05002751513333692
1116-1606,4.909770075875963,3.8114866421843376,263.89514232828054,263.194757116414,1.800000000000001,1.850000000000001,,1.0982834336916256,0.7003852118665463
1800-1818,3.4847235458707497,2.7290074310700803,149.03196758217018,149.18205012757016,,,,0.7557161148006695,-0.15008254539998234
972-1001,2.3660575637554406,1.13440399317525,237.13042173195257,237.2304767622192,,,,1.2316535705801905,-0.10005503026664542
1252-1273,8.894095033924568,6.441600593174016,296.21291710440744,296.21291710440744,,,,2.4524944407505522,0.0
1-6,7.892324392573647,3.2250612368806486,2.351293211266196,2.451348241532843,1.950000000000001,1.800000000000001,,4.667263155692998,-0.10005503026664675
673-682,5.361187709911855,1.0100551267209426,160.2381309720346,160.2381309720346,2.799999999999998,,,4.351132583190912,0.0
589-1800,4.387510089164879,3.0959287848802433,148.93191255190354,148.98194006703687,,,,1.2915813042846356,-0.05002751513333692
523-531,3.4357620095002033,1.7602083472203702,135.9247586172395,135.87473110210615,0.8500000000000002,0.8000000000000002,,1.675553662279833,0.05002751513333692
849-897,4.837577655931823,2.866633728868422,210.06553604482465,210.31567362049125,1.800000000000001,,,1.9709439270634013,-0.25013757566659933
