agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
1040,1087,pedestrian,lcv,ped_veh,agent_b_first,-6.5094,0.2001,2.9268,1.801,1.3975,1.65,0.0,0.0,1040,1087,lcv
1040,1100,pedestrian,cyclist,ped_veh,agent_a_first,3.8765,0.0,1.7852,1.801,1.6893,,0.0,0.0,1040,1100,cyclist
1045,1047,pedestrian,truck,ped_veh,agent_a_first,0.6832,0.7004,1.7561,0.0,3.4267,1.8,3e-05,1e-06,1045,1047,truck
1045,2635,pedestrian,car,ped_veh,agent_a_first,6.7332,8.8549,5.7965,0.1501,5.3685,2.7,0.00052,5.1e-05,1045,2635,car
1047,1049,truck,pedestrian,ped_veh,agent_a_first,1.254,0.5003,0.1545,0.0,1.669,0.9,0.03851,0.00215,1047,1049,pedestrian
1047,1050,truck,pedestrian,ped_veh,agent_a_first,-0.0212,6.5536,2.8538,2.4513,6.5334,,0.0,0.0,1047,1050,pedestrian
1047,1053,truck,pedestrian,ped_veh,unresolved_conflict_zone,0.0885,1.0506,0.1967,0.8004,2.2827,,0.19567,0.010925,1047,1053,pedestrian
1047,1063,truck,pedestrian,ped_veh,agent_a_first,-16.845,0.8004,0.2704,0.0,0.8368,0.05,0.50238,0.02805,1047,1063,pedestrian
1047,1065,truck,pedestrian,ped_veh,agent_a_first,0.2412,1.1506,3.2686,0.0,2.8659,,0.0,0.0,1047,1065,pedestrian
1047,1068,truck,pedestrian,ped_veh,agent_a_first,-3.2944,1.4008,0.5569,0.0,0.7624,0.05,0.87628,0.048927,1047,1068,pedestrian
1047,2635,truck,car,veh_veh,agent_a_first,-4.2826,0.1501,2.4255,0.0,2.404,0.95,0.22095,0.009219,1047,2635,car
1047,2722,truck,pedestrian,ped_veh,agent_b_first,-0.1385,0.05,0.4869,0.2501,1.6395,1.1,0.0,0.0,1047,2722,pedestrian
1050,1060,pedestrian,lcv,ped_veh,agent_b_first,-2.3191,2.4513,4.0603,0.0,2.0528,2.2,0.0,0.0,1050,1060,lcv
