agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class,pattern
1148,1213,pedestrian,lcv,ped_veh,unresolved_conflict_zone,2.6061,0.05,0.0259,0.0,1.0299,0.75,0.0,0.0,1148,1213,lcv,Unknown
1148,3187,pedestrian,car,ped_veh,agent_b_first,2.2735,0.0,0.5448,3.652,1.4407,1.25,0.0,0.0,1148,3187,car,Chaotic Negotiation
1150,3187,pedestrian,car,ped_veh,unresolved_conflict_zone,6.117,0.0,0.0177,0.0,1.0726,0.55,7e-05,7e-06,1150,3187,car,Unknown
1156,3187,pedestrian,car,ped_veh,agent_a_first,5.393,0.05,8.4174,0.0,1.1735,0.65,0.0,0.0,1156,3187,car,Chaotic Negotiation
1159,3187,pedestrian,car,ped_veh,agent_b_first,-6.4041,0.4002,5.3087,0.0,1.881,3.15,0.0,0.0,1159,3187,car,Unclear Advantage
1160,1164,cyclist,truck,cyc_veh,agent_a_first,0.9177,0.1501,0.8519,0.0,0.6639,0.3,0.27786,0.014886,1160,1164,truck,Chaotic Negotiation
1160,1167,cyclist,lcv,cyc_veh,agent_b_first,0.2565,0.0,2.7292,0.0,0.2688,0.05,0.61567,0.039274,1160,1167,lcv,Chaotic Negotiation
1160,1173,cyclist,lcv,cyc_veh,agent_b_first,0.8878,0.9505,1.5242,0.0,1.1542,,0.00079,5e-05,1160,1173,lcv,Unclear Advantage
1160,1174,cyclist,pedestrian,ped_veh,agent_a_first,2.754,1.801,8.4826,0.3502,1.9204,,0.03778,0.00826,1160,1174,pedestrian,Unclear Advantage
1167,1169,lcv,pedestrian,ped_veh,agent_b_first,-4.9868,0.0,0.1824,0.0,1.3553,1.25,0.0,0.0,1167,1169,pedestrian,Chaotic Negotiation
1167,1170,lcv,pedestrian,ped_veh,agent_a_first,-2.7407,0.2501,0.2055,0.4502,0.9278,1.45,0.03866,0.002593,1167,1170,pedestrian,Unclear Advantage
1167,1173,lcv,lcv,veh_veh,agent_b_first,-3.1344,0.5503,1.9093,0.0,0.9328,,0.00014,6e-06,1167,1173,lcv,Unclear Advantage
1167,1174,lcv,pedestrian,ped_veh,agent_a_first,-4.4105,2.4013,2.2258,0.4502,3.1303,,0.01131,0.000758,1167,1174,pedestrian,Unclear Advantage
1167,1188,lcv,lcv,veh_veh,unresolved_conflict_zone,-0.4241,0.0,0.0228,0.0,0.6578,,0.08731,0.003431,1167,1188,lcv,Chaotic Negotiation
1167,2838,lcv,pedestrian,ped_veh,agent_a_first,0.2668,1.901,2.6489,0.3502,1.1289,1.45,0.00515,0.000345,1167,2838,pedestrian,Unclear Advantage
1170,1187,pedestrian,lcv,ped_veh,unresolved_conflict_zone,-1.4783,0.1501,0.2276,0.4502,1.6056,1.6,1e-05,0.0,1170,1187,lcv,Unknown
1170,1213,pedestrian,lcv,ped_veh,unresolved_conflict_zone,1.1138,0.2501,0.0135,0.0,0.1083,0.85,0.58894,0.0395,1170,1213,lcv,Unknown
1170,1216,pedestrian,cyclist,ped_veh,agent_b_first,1.6913,0.0,0.0167,0.1001,0.1874,0.35,0.24575,0.053726,1170,1216,cyclist,Chaotic Negotiation
