agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
865,1881,lcv,pedestrian,ped_veh,agent_a_first,0.6531,1.801,2.1215,0.5503,1.657,1.55,0.0,0.0,865,1881,pedestrian
865,1898,lcv,pedestrian,ped_veh,agent_b_first,-2.8433,0.05,0.9684,1.9511,0.4435,0.25,0.17574,0.011787,865,1898,pedestrian
868,873,pedestrian,lcv,ped_veh,agent_b_first,1.9351,2.0011,0.4584,2.2512,1.792,1.3,0.0,0.0,868,873,lcv
868,876,pedestrian,motorcycle,ped_veh,agent_b_first,-10.557,0.2001,1.8582,0.1501,2.9089,,0.0,0.0,868,876,motorcycle
868,884,pedestrian,lcv,ped_veh,agent_b_first,-8.8551,0.6003,0.915,0.0,3.2005,1.15,0.0,0.0,868,884,lcv
868,887,pedestrian,motorcycle,ped_veh,agent_b_first,-16.0907,0.05,4.0051,0.5503,2.4155,,0.0,0.0,868,887,motorcycle
868,888,pedestrian,cyclist,ped_veh,agent_a_first,4.3757,0.1001,1.4164,0.3002,0.8769,2.8,0.0,1e-06,868,888,cyclist
868,889,pedestrian,cyclist,ped_veh,unresolved_conflict_zone,0.6385,1.5509,0.0137,0.6003,0.3876,3.2,0.0,0.0,868,889,cyclist
868,897,pedestrian,lcv,ped_veh,agent_b_first,-6.8143,0.9505,3.4522,0.3502,3.1314,,0.0,0.0,868,897,lcv
868,901,pedestrian,lcv,ped_veh,agent_b_first,1.1326,0.0,4.1294,0.0,1.4824,4.7,0.0,0.0,868,901,lcv
868,902,pedestrian,cyclist,ped_veh,agent_a_first,4.5513,1.0006,0.7617,0.2501,0.6138,,0.0,0.0,868,902,cyclist
868,903,pedestrian,lcv,ped_veh,agent_a_first,1.7317,0.4002,0.9239,0.2501,0.7708,8.9,0.02125,0.001425,868,903,lcv
871,889,pedestrian,cyclist,ped_veh,unresolved_conflict_zone,11.2158,1.3007,0.1508,0.0,0.2038,0.15,0.12503,0.027334,871,889,cyclist
873,884,lcv,lcv,veh_veh,unresolved_conflict_zone,-0.0594,0.0,0.7759,0.05,0.2791,0.7,0.26437,0.010389,873,884,lcv
873,888,lcv,cyclist,cyc_veh,agent_a_first,-0.3658,0.9005,1.2316,0.0,1.7815,0.95,2e-05,1e-06,873,888,cyclist
873,889,lcv,cyclist,cyc_veh,agent_b_first,-3.6863,0.5003,6.5551,0.3502,1.5767,1.25,0.0,0.0,873,889,cyclist
873,897,lcv,lcv,veh_veh,unresolved_conflict_zone,2.207,0.4002,0.2913,0.0,1.1307,,0.21177,0.008322,873,897,lcv
873,898,lcv,car,veh_veh,agent_a_first,-1.4814,0.8505,1.2152,0.0,1.4625,,0.00232,0.000111,873,898,car
